product_code,product_name,category,supplier_name,warehouse_location,quantity_on_hand,quantity_reserved,quantity_available,reorder_point,reorder_quantity,max_stock_level,stock_value_ghs,stock_status
PRD0040,Gas Cooker,Home & Furniture,Epsilon Merchants,Zone A,719,58,661,64,256,972,1432442.13,OK
PRD0059,Measuring Tape Box,Industrial Supplies,Nu Wholesale Ltd.,Cold Storage,766,72,694,66,324,1459,1408313.98,OK
PRD0041,Paracetamol Box,Health & Pharma,Tema Port Traders,Zone B,738,24,714,70,161,1913,1378473.3,OK
PRD0080,Farm Boots Pair,Agriculture,Xi Supplies Accra,Cold Storage,781,69,712,78,333,886,1206402.89,OK
PRD0026,Plain Fabric Roll,Clothing & Apparel,Xi Supplies Accra,Zone E,700,76,624,45,389,1211,1200367.0,OK
PRD0012,Cooking Oil 25L,Food & Beverage,Delta Wholesale GH,Zone B,765,94,671,99,408,1499,1175307.75,OK
PRD0039,Water Dispenser,Home & Furniture,Pacific Ghana Imports,Zone C,566,67,499,74,317,1177,1052454.36,OK
PRD0003,Tablet,Electronics,Delta Wholesale GH,Overflow,609,40,569,86,413,1373,1050123.06,OK
PRD0029,Hard Hat,Clothing & Apparel,Accra Trading Co.,Cold Storage,470,90,380,49,322,1568,926327.7,OK
PRD0045,Hand Sanitizer Case,Health & Pharma,West Africa Distributors,Overflow,566,37,529,46,426,710,843334.34,OK
PRD0014,Flour 50kg,Food & Beverage,Pi Merchants Ghana,Zone E,695,51,644,51,339,1774,756027.95,OK
PRD0010,UPS Unit,Electronics,Nu Wholesale Ltd.,Zone D,430,49,381,32,491,1279,695486.3,OK
PRD0005,Keyboard,Electronics,Eastern Regional Traders,Cold Storage,769,31,738,65,492,1492,677365.96,OK
PRD0033,Office Desk,Home & Furniture,Gamma Distributors,Zone B,344,3,341,93,266,1498,633094.16,OK
PRD0034,Filing Cabinet,Home & Furniture,GhanaTech Imports,Zone C,363,33,330,73,243,1936,619154.58,OK
PRD0004,Monitor,Electronics,Omicron Trading Co.,Zone C,561,57,504,50,480,1421,607675.2,OK
PRD0066,Folders Pack,Stationery & Office,Pi Merchants Ghana,Cold Storage,328,85,243,43,182,1343,530339.92,OK
PRD0030,Gloves Pack,Clothing & Apparel,Iota Goods Limited,Zone D,276,78,198,98,496,1452,528675.24,OK
PRD0006,Mouse,Electronics,Ashanti Wholesale,Zone C,244,35,209,86,139,980,474418.96,OK
PRD0064,Staplers Box,Stationery & Office,Pacific Ghana Imports,Zone D,531,83,448,86,242,1698,469435.86,OK
PRD0035,Mattress Single,Home & Furniture,Volta River Merchants,Cold Storage,569,1,568,96,197,994,466284.12,OK
PRD0007,Printer,Electronics,Xi Supplies Accra,Zone B,343,40,303,99,141,808,431524.87,OK
PRD0025,Ankara Fabric Roll,Clothing & Apparel,Capital City Goods,Overflow,707,80,627,61,152,1117,404064.64,OK
PRD0038,Fan Ceiling,Home & Furniture,Volta River Merchants,Zone D,708,31,677,69,439,1255,386511.36,OK
PRD0043,Surgical Gloves Box,Health & Pharma,Mu Trading Ghana,Zone B,289,12,277,54,251,1239,379997.43,OK
PRD0067,Markers Box,Stationery & Office,Northern Suppliers Ghana,Zone D,507,36,471,81,489,575,375768.12,OK
PRD0047,Thermometer Box,Health & Pharma,Ashanti Wholesale,Zone D,188,6,182,62,344,633,340763.16,OK
PRD0069,Envelopes Pack,Stationery & Office,Gamma Distributors,Zone B,526,0,526,99,336,611,332631.88,OK
PRD0037,Fan Standing,Home & Furniture,Gamma Distributors,Zone D,502,57,445,32,147,953,324497.82,OK
PRD0061,A4 Paper Ream,Stationery & Office,Ashanti Wholesale,Zone C,448,10,438,35,321,1736,320440.96,OK
PRD0008,Scanner,Electronics,Tema Port Traders,Zone D,392,88,304,49,461,631,298057.2,OK
PRD0057,Power Drill,Industrial Supplies,Xi Supplies Accra,Zone B,202,54,148,44,378,1826,298032.82,OK
PRD0075,Irrigation Hose Roll,Agriculture,Eastern Regional Traders,Zone E,279,53,226,91,341,1435,290324.61,OK
PRD0048,Bandages Box,Health & Pharma,Nu Wholesale Ltd.,Zone C,503,9,494,36,177,1652,285618.49,OK
PRD0009,Router,Electronics,Zeta Importers Ghana,Zone B,417,42,375,99,338,627,275983.11,OK
